date,year,triggered_events,estimated_payout_usd,payout_tier,trigger_type
2014-06-01,2014,severe_stress,45,standard,severe_stress
2014-09-01,2014,drought,60,standard,drought
2014-10-01,2014,drought,60,standard,drought
2014-11-01,2014,drought,60,standard,drought
2014-12-01,2014,flood,75,standard,flood
2015-03-01,2015,crop_failure,90,standard,crop_failure
2015-03-01,2015,severe_stress,45,standard,severe_stress
2015-03-01,2015,crop_failure,90,standard,crop_failure
2015-03-01,2015,severe_stress,45,standard,severe_stress
2015-03-01,2015,crop_failure,90,standard,crop_failure
2015-03-01,2015,severe_stress,45,standard,severe_stress
2015-03-01,2015,crop_failure,90,standard,crop_failure
2015-03-01,2015,severe_stress,45,standard,severe_stress
2015-03-01,2015,crop_failure,90,standard,crop_failure
2015-03-01,2015,severe_stress,45,standard,severe_stress
2015-04-01,2015,flood,75,standard,flood
2015-04-01,2015,crop_failure,90,standard,crop_failure
2015-04-01,2015,severe_stress,45,standard,severe_stress
2015-04-01,2015,flood,75,standard,flood
2015-05-01,2015,flood,75,standard,flood
2015-05-01,2015,crop_failure,90,standard,crop_failure
2015-05-01,2015,severe_stress,45,standard,severe_stress
2015-06-01,2015,flood,75,standard,flood
2015-06-01,2015,crop_failure,90,standard,crop_failure
2015-06-01,2015,severe_stress,45,standard,severe_stress
2015-07-01,2015,crop_failure,90,standard,crop_failure
2015-07-01,2015,severe_stress,45,standard,severe_stress
2015-07-01,2015,crop_failure,90,standard,crop_failure
2015-07-01,2015,severe_stress,45,standard,severe_stress
2015-08-01,2015,crop_failure,90,standard,crop_failure
2015-08-01,2015,severe_stress,45,standard,severe_stress
2015-09-01,2015,crop_failure,90,standard,crop_failure
2015-09-01,2015,severe_stress,45,standard,severe_stress
2015-10-01,2015,drought,60,standard,drought
2015-10-01,2015,crop_failure,90,standard,crop_failure
2015-10-01,2015,severe_stress,45,standard,severe_stress
2015-10-01,2015,crop_failure,90,standard,crop_failure
2015-10-01,2015,severe_stress,45,standard,severe_stress
2015-11-01,2015,drought,60,standard,drought
2015-12-01,2015,flood,75,standard,flood
